InvoiceNo,Quantity,UnitPrice,CustomerID
566018,2,4.95,13137.0
546753,2,3.75,16383.0
578065,1,20.79,
566572,12,1.65,13488.0
573336,4,0.85,17372.0
543013,1,1.46,
571508,1,1.63,
572335,12,2.1,14493.0
553341,6,2.95,16293.0
554098,6,1.25,14769.0
562371,2,8.5,13709.0
575087,1,0.85,16549.0
573388,8,0.85,14895.0
549845,11,0.42,16729.0
572457,10,2.08,12594.0
563229,1,1.69,17988.0
554157,2,1.65,18283.0
544434,1,0.83,
563557,12,1.65,15786.0
544599,1,3.29,
572553,1,4.13,
553739,6,2.95,14895.0
558896,1,1.65,
565665,4,1.45,15856.0
554261,1,1.25,16033.0
574841,3,5.95,14156.0
552779,4,3.75,13013.0
572058,1,8.25,18252.0
580884,6,0.29,15907.0
564837,1,4.13,
543812,1,0.85,17472.0
580672,3,0.19,17920.0
579508,1,3.29,
576213,3,0.29,18117.0
571676,2,0.29,16910.0
557136,12,0.85,14911.0
559032,6,2.08,17511.0
546254,12,1.25,14727.0
579559,1,0.65,16764.0
568877,10,2.95,14680.0
548740,6,2.95,13319.0
565303,2,0.42,
546896,1,12.46,
566171,1,8.5,18118.0
551719,1,2.46,
577337,1,3.75,15494.0
564322,100,0.72,13694.0
560078,3,4.95,16040.0
579124,1,1.45,15721.0
537769,1,2.1,15021.0
537434,1,1.66,
572858,2,2.95,13571.0
555835,1,0.85,14525.0
572837,12,0.83,14754.0
571508,2,1.63,
570187,1,4.96,
571716,2,5.79,
560285,12,0.85,14944.0
561371,1,2.46,
571654,1,5.95,18118.0
555515,5,7.95,17690.0
568701,10,0.85,13924.0
572513,1,0.85,16728.0
565851,12,0.95,14911.0
574470,6,0.42,12748.0
558475,2,4.13,
544271,8,1.69,17083.0
578746,11,4.96,
576099,6,2.08,13021.0
546383,12,1.25,13654.0
566495,2,3.75,15529.0
544461,24,1.25,13744.0
580754,4,12.46,
567303,12,1.25,17613.0
565235,25,0.42,13418.0
561056,12,1.45,13477.0
546538,12,0.55,16327.0
576339,1,4.13,14096.0
576840,3,3.29,
572553,1,8.29,
551342,24,0.65,16099.0
540247,3,2.95,15464.0
547552,2,4.13,
578026,10,0.85,17659.0
576189,2,1.95,14684.0
578354,4,4.95,17139.0
577613,4,3.75,14911.0
547397,1,4.13,
574741,8,0.85,15993.0
559112,2,2.95,17315.0
566010,2,4.95,13700.0
571214,11,0.42,14390.0
550470,1,15.79,
575628,1,6.95,12844.0
552182,1,16.95,14180.0
571318,24,4.95,17404.0
559329,36,1.25,15241.0
576217,1,1.25,17081.0
570333,1,1.69,18126.0
537351,10,1.25,16898.0
560555,2,0.29,14178.0
562282,50,0.42,13098.0
573553,1,3.29,
555149,2,4.13,
536539,2,7.95,15165.0
574336,4,4.15,12397.0
562688,4,1.65,13869.0
562199,2,1.25,12748.0
576329,1,2.46,
568137,24,1.65,12488.0
538524,2,8.47,
579512,1,0.83,
577768,1,1.63,
575066,1,9.95,13668.0
559807,1,1.25,17841.0
565409,24,1.25,16761.0
541592,2,2.46,
575219,72,0.36,17511.0
548470,12,4.95,12782.0
569326,8,8.5,14360.0
547042,1,10.79,
570465,1,3.29,
569246,1,2.92,14096.0
550130,6,4.25,14390.0
554507,12,1.65,15513.0
572703,1,1.65,16110.0
549844,7,0.65,12854.0
C562952,-2,1.95,12749.0
550123,12,0.42,
560366,4,4.25,16859.0
537395,2,2.1,15356.0
541265,2,1.95,17609.0
566276,25,0.42,13450.0
558111,1,6.25,17114.0
573137,1,3.29,
578953,2,2.1,13546.0
538999,16,10.95,16003.0
572185,1,4.96,
566874,2,0.85,
574721,1,2.08,17920.0
569372,1,1.63,
555106,24,0.42,12790.0
566451,3,2.55,18069.0
570223,2,1.65,15787.0
571065,24,0.55,12613.0
552338,2,6.35,
578344,2,4.13,
554075,24,0.85,16038.0
565397,1,2.55,14171.0
547881,1,2.95,13110.0
548714,1,4.25,17337.0
561217,1,20.79,
572061,12,0.85,12474.0
571441,1,0.83,14096.0
541596,1,0.55,17602.0
577078,2,4.13,
580399,1,8.25,13471.0
545085,24,1.25,15039.0
579187,2,8.29,
571937,12,0.75,14911.0
539631,1,0.85,
C570775,-1,18.0,12664.0
546892,1,4.13,
540163,25,0.42,13089.0
C550181,-20,0.85,13069.0
570292,3,5.95,13418.0
559338,2,4.58,
551868,25,0.42,12540.0
552852,6,1.45,16712.0
549293,1,5.95,17883.0
543197,1,65.0,12842.0
580115,3,2.46,
569700,1,2.46,
544074,12,1.25,14156.0
573585,16,0.85,
555573,12,0.42,15349.0
563430,8,4.95,14918.0
537638,6,0.85,
562542,12,0.42,17377.0
574962,24,0.19,15194.0
545575,6,9.95,13014.0
571747,12,1.25,13849.0
570197,1,0.85,13755.0
567462,1,3.75,14446.0
560863,2,1.25,12748.0
543631,12,0.42,14081.0
575298,5,2.08,17841.0
552829,4,4.15,12748.0
576087,10,0.85,12689.0
580208,4,1.55,13468.0
544161,10,1.65,16875.0
C569034,-1,0.42,16240.0
564848,6,1.45,16928.0
538071,2,7.62,
555344,1,1.25,15311.0
578344,1,1.63,
570086,8,3.75,17086.0
539436,2,2.51,
552318,4,0.42,17231.0
543737,8,7.95,12477.0
C570867,-8,0.83,12607.0
545430,12,2.95,15636.0
550955,12,1.25,14189.0
545901,2,1.45,15834.0
559491,1,0.83,
580065,4,4.95,15434.0
539300,1,1.25,
551271,25,0.42,17187.0
542944,32,0.65,17560.0
547651,3,1.95,16904.0
540566,2,1.95,17811.0
547070,1,0.85,16115.0
566082,12,0.62,16293.0
561873,40,1.25,13316.0
562517,2,1.25,15719.0
540839,1,4.25,16791.0
560048,24,0.29,13515.0
C560880,-3,2.95,15152.0
581133,10,1.65,14904.0
576837,1,4.96,
553734,6,2.89,14735.0
560090,1,3.29,
579167,2,4.95,16800.0
544928,3,2.46,
581492,3,3.29,
560491,1,2.89,12415.0
564901,12,0.59,15690.0
545183,2,7.95,15570.0
571441,2,2.46,14096.0
543467,2,1.63,
576910,6,2.95,12477.0
575851,1,1.25,14662.0
578681,12,1.65,13579.0
556529,6,2.55,12714.0
541670,48,2.55,14911.0
560368,1,0.42,17841.0
559254,12,1.65,16814.0
539722,3,5.95,14911.0
539434,1,0.85,
569815,1000,1.79,15838.0
576099,24,0.55,13021.0
568183,24,0.29,13991.0
561873,24,3.39,13316.0
572465,2,9.95,14474.0
579508,1,0.83,
563557,12,1.65,15786.0
564565,24,0.55,14911.0
578074,3,1.25,17590.0
581412,2,3.75,14415.0
573122,2,1.95,14357.0
557619,1,8.5,17757.0
539196,9,1.45,18055.0
556489,3,1.25,14704.0
536522,1,3.75,15012.0
556809,10,4.15,17179.0
545411,12,1.65,16128.0
580364,4,4.95,13309.0
572484,3,3.25,17220.0
539436,1,8.47,
556432,24,1.25,16184.0
558475,48,0.69,
577774,3,5.95,16712.0
540352,1,2.51,
538094,25,0.21,13117.0
556042,2,8.25,14367.0
563808,8,1.95,12626.0
568202,6,2.1,15366.0
540977,1,4.21,
566005,4,2.1,16426.0
566451,4,2.08,18069.0
572758,1,4.13,
581096,10,2.08,17412.0
550137,2,7.95,12477.0
577121,6,2.55,12681.0
569220,3,1.65,16007.0
562014,6,2.55,14341.0
555573,3,1.65,15349.0
545503,2,1.65,15719.0
558066,1,4.96,
553042,8,3.75,15845.0
547485,3,0.55,17019.0
544206,5,0.83,
538154,3,3.36,
538995,12,1.45,13458.0
580288,3,5.95,17611.0
554998,6,2.55,15925.0
555923,1,5.79,
C579934,-2,0.85,14860.0
550542,4,1.63,
565410,4,4.65,14691.0
572244,12,4.95,14233.0
538841,20,0.85,16899.0
577768,1,24.96,
553063,12,1.45,13018.0
571716,1,16.63,
575591,1,3.75,17791.0
571265,1,1.25,16674.0
564373,6,8.5,15290.0
543544,1,0.65,
543985,1,2.46,
540418,7,0.85,
577773,4,4.95,16712.0
556090,2,2.46,
568894,6,4.95,17528.0
572034,4,3.75,14447.0
537434,1,8.47,
547337,-230,0.0,
577078,1,0.83,
570177,10,1.65,17509.0
545021,6,2.1,17663.0
579146,1,4.95,16347.0
556116,6,2.95,15214.0
537222,1,4.25,14404.0
578155,1,1.65,12748.0
553165,2,10.75,13623.0
580691,12,0.29,13790.0
578074,2,1.25,17590.0
562916,2,1.69,
552724,4,3.75,13418.0
581403,10,2.08,13510.0
575983,1,2.55,13379.0
581400,3,8.5,14056.0
546554,6,1.65,16037.0
579430,2,1.25,12748.0
541684,25,0.42,15498.0
573149,2,0.85,16438.0
581217,14,1.63,
563018,25,0.42,13427.0
574873,5,4.95,16362.0
538678,1,1.95,
C559347,-12,1.25,18072.0
581237,1,0.42,15443.0
560080,96,2.39,17450.0
573362,4,3.75,12597.0
571824,10,1.95,12472.0
569488,3,4.15,16440.0
550835,1,1.95,15034.0
538783,12,0.85,14961.0
550499,1,5.79,
561314,12,1.45,16266.0
577228,6,2.95,12391.0
551603,4,2.1,16745.0
568539,6,2.95,13016.0
572758,1,4.13,
551953,12,1.65,13448.0
542662,6,4.25,18145.0
542401,1,1.65,14541.0
562106,1,0.42,14076.0
544659,1,4.25,18114.0
569898,1,4.96,
570652,36,1.25,17863.0
581498,3,4.13,
559807,12,0.29,17841.0
543054,12,0.85,13394.0
578344,2,2.46,
543251,6,2.95,14194.0
540396,6,5.95,14031.0
576189,1,0.85,14684.0
579885,2,2.49,15444.0
581175,48,1.45,14646.0
581006,6,4.95,14911.0
543803,2,0.85,17126.0
580367,5,0.83,
566345,25,0.42,17685.0
548361,4,4.95,16092.0
537362,24,0.42,17596.0
564436,1,0.42,17841.0
563830,24,0.75,16638.0
555979,2,1.65,15039.0
578374,50,0.0,
542409,7,0.85,15311.0
568156,36,0.38,14367.0
556813,1,19.96,
546891,1,2.46,
548011,200,1.45,14646.0
552643,3,1.95,16791.0
560723,2,2.1,16464.0
540550,6,2.55,12539.0
577768,4,3.29,
538811,10,0.85,13178.0
566019,4,1.25,17243.0
568955,8,1.69,13759.0
538177,1,2.98,
556792,12,0.42,17043.0
549251,2,0.42,14449.0
566602,6,1.63,
574950,8,0.83,
537312,72,1.06,14189.0
554280,5,2.1,14817.0
577217,1,25.0,17324.0
537775,4,3.75,17722.0
545302,2,1.25,14506.0
553182,3,1.69,17107.0
578153,3,2.89,12748.0
564093,12,1.45,14930.0
541827,1,5.79,
576787,10,2.08,13815.0
578518,1,2.95,14606.0
548894,2,4.13,
544467,1,1.65,14502.0
549989,1,1.45,13221.0
541219,3,4.13,
574076,4,0.79,
556115,6,2.55,15241.0
573158,8,4.95,14738.0
541615,3,3.75,16395.0
549543,2,2.1,18118.0
559652,12,2.55,17164.0
555406,16,1.69,17231.0
555650,6,2.95,14156.0
579470,3,4.25,16549.0
C576919,-6,4.15,15529.0
570167,12,1.65,15615.0
568988,12,0.42,12718.0
575690,12,1.65,14189.0
577228,6,2.95,12391.0
544098,6,1.95,16019.0
559538,2,3.25,16880.0
551986,4,4.95,13888.0
542397,48,2.55,13328.0
569521,2,1.65,16474.0
575477,1,10.79,
548197,2,5.95,13588.0
547580,3,5.95,13488.0
546984,1,1.65,15019.0
578072,1,4.95,17759.0
575740,24,0.29,18130.0
558233,2,8.25,18073.0
552229,1,21.74,
556916,4,1.45,16898.0
566195,20,0.42,12433.0
575610,10,1.65,16628.0
567890,24,0.39,14125.0
541576,2,1.65,17097.0
570887,6,2.89,17169.0
540154,1,4.24,
578149,2,7.46,
575117,1,1.25,12748.0
541809,34,2.46,
568792,6,2.95,18192.0
542109,2,12.46,
543124,2,8.5,15311.0
548259,4,2.95,14099.0
548450,12,0.42,15856.0
552245,1,3.95,12748.0
558475,7,3.29,
565320,32,0.85,16745.0
560580,30,4.15,14088.0
564483,8,1.65,14050.0
C556677,-2,4.15,15643.0
565470,12,1.65,12576.0
539749,30,0.0,
569638,12,1.65,16140.0
553199,2,2.25,17758.0
574313,4,4.25,13267.0
550470,1,2.46,
558570,2,4.95,17673.0
579427,4,2.55,16479.0
536819,12,1.25,13402.0
537789,20,6.75,14051.0
C547675,-49,0.66,17754.0
566923,2,2.95,15511.0
539463,12,2.55,18077.0
542541,4,3.29,
545182,72,0.29,14046.0
571227,6,2.95,12477.0
568782,4,4.95,13985.0
551547,17,2.08,
565901,100,1.79,13798.0
581058,12,0.85,15969.0
581034,10,2.08,17049.0
553053,6,5.95,12857.0
562922,20,1.65,12594.0
580729,1,8.29,
542412,1,1.65,16725.0
557938,3,1.63,
576614,6,0.85,12933.0
567671,1,4.13,
571559,10,2.08,14911.0
573151,12,1.25,17602.0
576688,3,4.95,16717.0
568719,1,1.25,
569319,12,2.1,14290.0
561650,25,0.42,15329.0
548703,2,1.65,16010.0
559836,12,0.65,13911.0
575059,1,2.08,14071.0
559055,4,1.63,
549813,1,4.95,17972.0
554083,12,0.42,18125.0
550470,1,3.29,
556813,2,3.29,
538313,2,3.75,15514.0
572567,12,1.69,12398.0
545333,1,11.63,
C580954,-9,3.75,12967.0
554054,6,10.79,
546732,2,0.42,14606.0
540770,2,7.95,13468.0
552277,6,2.1,13642.0
575751,10,2.08,14911.0
547248,2,1.63,
571676,2,0.83,16910.0
552655,2,2.95,14587.0
562264,2,2.46,
570416,8,2.95,15608.0
567707,36,0.42,14676.0
580512,10,2.08,12673.0
575698,12,1.45,16094.0
C540393,-1,4.95,17428.0
562717,8,1.63,
570229,1,1.25,15756.0
577768,1,0.83,
556890,10,1.65,17581.0
542542,4,3.75,12431.0
552813,2,5.75,15079.0
577690,1,0.55,12856.0
558904,1,4.96,
575739,1,4.13,
557742,24,0.19,14911.0
571850,4,2.89,14698.0
573876,2,0.85,16360.0
580730,1,0.83,
550348,6,2.55,16947.0
538877,16,4.21,
542006,9,1.45,15218.0
565235,16,1.65,13418.0
566912,8,2.1,14367.0
573183,10,0.42,15028.0
576841,1,3.75,17368.0
557891,4,4.15,17652.0
565927,12,1.65,
558045,12,1.25,12615.0
576910,12,2.1,12477.0
563920,12,1.25,16407.0
575176,1,1.63,
564825,3,3.29,
565856,1,7.95,17345.0
571508,3,0.63,
549251,4,0.85,14449.0
564300,4,1.25,16723.0
565434,36,0.3,12867.0
574547,1,1.25,17841.0
538356,18,4.25,14062.0
548698,3,0.55,18109.0
568614,24,0.55,13515.0
578118,12,2.95,12955.0
578941,1,1.25,16024.0
565927,4,5.95,
541995,8,1.25,13158.0
565234,2,0.83,
556425,1,4.95,14178.0
571270,3,1.25,12940.0
538524,2,2.51,
575491,3,1.95,15531.0
544776,1,1.63,
551997,1,1.25,
547249,1,1.63,
562928,25,0.42,15494.0
555644,4,9.95,16520.0
571705,2,16.95,12360.0
551718,1,3.29,
581217,6,4.13,
547555,12,1.95,14075.0
575742,8,1.25,14309.0
551056,1,7.95,16442.0
560537,6,1.65,17779.0
543816,3,1.25,17841.0
538146,8,0.85,15596.0
540551,1,7.62,
578844,4,0.83,
561887,72,0.79,14414.0
C552995,-1350,0.16,18133.0
537685,6,1.25,18077.0
578264,2,1.25,12748.0
561209,1,0.42,
540984,2,4.25,14167.0
564646,1,6.63,
536566,9,1.25,16928.0
553189,1,2.1,15033.0
571105,2,2.95,17614.0
571702,6,2.55,14639.0
541138,6,3.75,12553.0
553199,16,0.42,17758.0
559034,4,4.15,13109.0
553369,4,7.9,15044.0
571932,1,1.65,
576617,2,2.46,
558731,10,1.65,13285.0
538630,12,1.65,14565.0
543255,12,1.69,13050.0
575983,1,3.25,13379.0
556491,4,1.65,16794.0
566203,1,1.45,16362.0
548191,1,4.96,
541523,3,6.95,17708.0
538071,1,5.91,
559338,2,2.46,
580611,1,1.65,12748.0
548710,4,3.75,16678.0
563248,6,1.25,14702.0
550655,2,3.75,17217.0
545333,1,3.29,
C550177,-2,1.65,13534.0
537400,6,2.95,17191.0
561794,10,2.08,12921.0
C576324,-1,2.1,16161.0
561926,24,1.25,12749.0
571668,12,1.95,16515.0
575724,48,4.25,14608.0
549155,2,1.25,
570180,4,3.75,17509.0
541104,1,4.13,
541516,1,12.46,
571669,2,4.95,17758.0
540821,1,5.91,
555722,1,2.46,
540163,24,0.85,13089.0
569137,1,7.46,
549743,3,4.95,16186.0
547880,2,0.55,15426.0
581356,2,8.25,17830.0
547860,3,1.25,17625.0
540255,1,3.36,
544462,2,7.95,17050.0
570218,2,9.95,16873.0
550327,4,4.15,12878.0
541370,3,4.95,18179.0
579512,3,4.13,
556195,10,2.08,16745.0
539735,1,0.81,
559660,64,1.04,16701.0
540098,1,0.55,16241.0
572964,6,2.95,12630.0
541434,1,50.0,14911.0
568101,24,1.45,15978.0
567671,4,0.42,
560724,20,1.65,16186.0
576688,12,1.25,16717.0
536412,1,4.25,17920.0
558336,20,1.65,14364.0
550906,240,0.39,14298.0
545752,96,0.42,17381.0
550953,1,7.46,
569250,12,1.25,16747.0
567380,48,0.39,12620.0
561894,1,2.1,14456.0
570465,1,5.82,
569469,3,2.55,16360.0
572287,6,0.39,15584.0
573335,2,0.85,15059.0
559506,1,0.83,
538886,12,1.25,13846.0
578347,2,4.15,
547850,2,1.65,14472.0
580048,1,1.95,12748.0
570187,2,1.63,
552232,1,18.29,
539225,12,1.25,15379.0
549250,2,1.95,14446.0
545163,12,0.85,16607.0
536563,24,1.25,17760.0
546998,3,1.49,16023.0
563557,24,0.55,15786.0
545027,7,3.29,
558540,6,2.55,17706.0
556542,1,11.95,14719.0
570488,1,8.29,14096.0
542229,12,1.65,12474.0
541104,1,0.83,
567625,2,9.95,13627.0
578243,12,4.95,13448.0
559121,12,1.25,13599.0
545821,4,4.25,13001.0
581219,1,0.83,
550033,2,2.08,15005.0
552819,8,3.75,16652.0
577531,1,3.29,
567659,12,1.45,17475.0
564818,5,1.63,
579938,6,2.89,14146.0
578037,5,0.5,
543470,12,1.25,16951.0
554098,12,0.42,14769.0
563909,5,0.12,15701.0
572063,1,4.95,14606.0
550331,1,0.42,15555.0
539447,12,1.95,12395.0
536522,1,3.75,15012.0
538566,1,7.64,
575152,3,0.42,16284.0
566589,4,3.75,14753.0
536973,12,1.65,17787.0
580735,6,2.95,17728.0
554960,1,8.29,
571909,1,1.25,15006.0
562593,2,2.55,16549.0
581439,1,10.79,
577554,3,0.19,15533.0
551414,6,2.95,15622.0
570826,2,1.25,16753.0
573993,6,2.08,16790.0
536876,4,0.85,
564818,12,4.13,
536986,6,2.1,16140.0
