schoolyear,gradeLevel,classPeriod,classType,schoolName,gradePercentage,avid,sped,migrant,ell,student_ID
2024-2025,0,6.0,ENG,Tulip Beach Elementary School,71.4,N,N,N,N,7MI3WO46P
2018-2019,8,1.0,ART,West Junior High,82.0,Y,Y,N,N,8IK1GRR15
2021-2022,8,7.0,SOC,North Junior High,91.9,N,N,N,N,WTBU62I67
2022-2023,6,5.0,MAT,East Junior High,94.4,Y,N,N,N,1N9ZN5LY6
2022-2023,1,7.0,MAT,Hall Elementary School,97.4,Y,N,N,N,SY7W7J1V5
2022-2023,3,3.0,MUS,Hall Elementary School,100.0,N,N,N,N,TV5X6J89N
2023-2024,0,9.0,SOC,Cloudy Elementary School,100.0,Y,N,N,N,4N2CX3Z9H
2018-2019,6,4.0,MAT,North Junior High,100.0,N,N,N,N,JP1TAS830
2022-2023,6,2.0,SCI,Allfeather Middle School,91.5,N,N,N,N,4EZ9TGM49
2024-2025,6,4.0,SOC,East Junior High,60.5,N,N,N,N,22AYS1GK5
2018-2019,8,4.0,MAT,West Junior High,81.0,Y,Y,N,N,1981EMZCQ
2024-2025,1,4.0,PE,Hall Elementary School,100.0,Y,Y,N,N,VFN612VD7
2022-2023,2,4.0,PE,Hall Elementary School,95.0,Y,N,N,N,6P8K04SKE
2020-2021,6,3.0,MAT,North Junior High,58.3,N,N,N,N,6JRR485AI
2023-2024,7,6.0,SOC,Allfeather Middle School,74.3,N,N,Y,Y,4FF2S96QO
2018-2019,8,4.0,ENG,West Junior High,87.5,Y,N,N,N,0TI4N38VF
2024-2025,2,2.0,ART,Maria Flowers Elementary School,100.0,Y,N,N,N,X01LL7I0W
2023-2024,5,2.0,ART,Maria Flowers Elementary School,100.0,N,N,N,N,T5R4S2KY1
2018-2019,7,2.0,IN,Allfeather Middle School,91.9,N,N,N,N,BLF42Z71W
2023-2024,8,5.0,ENG,North Junior High,98.0,Y,N,N,N,413M6GVJD
2020-2021,8,4.0,SCI,East Junior High,89.3,N,N,N,N,R62VPE8W9
2018-2019,7,7.0,ELE,West Junior High,86.5,N,N,N,N,548RVYHK6
2018-2019,8,5.0,ENG,Allfeather Middle School,82.1,N,N,N,N,ZET2F57B8
2024-2025,4,9.0,SOC,Gale Elementary School,86.4,Y,N,N,N,EZL81T50W
2021-2022,8,5.0,SCI,West Junior High,58.8,Y,N,N,N,666X6DGNV
2020-2021,7,4.0,SCI,West Junior High,94.7,N,N,N,N,25ISX6BX1
2024-2025,0,9.0,SOC,Grand River Elementary School,100.0,Y,N,N,Y,61AVV5NM9
2021-2022,7,4.0,ENG,Allfeather Middle School,70.2,N,N,N,N,MH3BV293D
2023-2024,5,4.0,PE,Maria Flowers Elementary School,100.0,Y,N,N,N,23FTT9OZ6
2023-2024,7,1.0,ELE,South Junior High,90.1,N,N,N,N,3H9PM60WZ
2023-2024,7,1.0,MAT,West Junior High,84.4,Y,N,N,N,YJ29FQQ13
2023-2024,2,6.0,ENG,Rocky Elementary School,89.7,Y,N,Y,N,G0IC7RI71
2021-2022,7,1.0,SCI,South Junior High,43.1,N,N,N,N,YSE64T92Z
2023-2024,7,6.0,SCI,East Junior High,90.0,N,Y,N,N,G3Y4LR3L4
2018-2019,6,3.0,ELE,East Junior High,82.3,Y,N,N,N,TR3625CVF
2023-2024,0,4.0,PE,Tulip Beach Elementary School,100.0,N,N,N,N,G9TM9L1L4
2018-2019,8,4.0,SOC,Allfeather Middle School,70.2,N,N,N,N,ENJ3I769M
2022-2023,5,4.0,PE,Gale Elementary School,100.0,Y,N,N,N,6DAYJ088M
2018-2019,8,6.0,ENG,East Junior High,91.3,N,N,N,N,0QJA5U16Z
2022-2023,8,2.0,PE,South Junior High,76.7,N,Y,N,N,M8D1Z08WG
2021-2022,6,4.0,SCI,East Junior High,75.1,Y,N,N,N,6MOW6QZ20
2024-2025,1,5.0,ENG,Cloudy Elementary School,48.6,Y,N,N,N,M4V96ZU8N
2023-2024,8,3.0,ELE,West Junior High,83.0,Y,N,Y,N,N2SNYX492
2020-2021,7,6.0,ART,South Junior High,99.2,N,N,Y,N,148ZWXL6O
2018-2019,6,4.0,SCI,Allfeather Middle School,98.0,N,N,N,N,XL89T05KS
2024-2025,5,2.0,ART,Seaside Elementary School,100.0,Y,Y,Y,Y,ZVXYC3256
2018-2019,8,2.0,MAT,East Junior High,71.3,N,N,N,N,UIDV3F973
2024-2025,1,7.0,MAT,Tulip Beach Elementary School,83.5,N,N,N,N,9LSR8QJ81
2023-2024,6,6.0,ELE,South Junior High,97.8,N,Y,Y,Y,1I27Z2PGE
2021-2022,6,7.0,PE,Allfeather Middle School,98.8,Y,N,Y,N,0P9EU5H9C
2020-2021,8,2.0,SCI,North Junior High,98.8,N,Y,N,N,JI14P9KT9
2022-2023,8,7.0,ENG,Allfeather Middle School,65.5,N,N,N,N,11U6YUUA4
2023-2024,3,3.0,MUS,Cloudy Elementary School,100.0,Y,N,N,N,6PL32ED3X
2018-2019,6,4.0,MUS,South Junior High,94.2,Y,N,N,N,TD3X9R2O3
2018-2019,8,3.0,ENG,South Junior High,82.8,N,N,N,N,7V1M1RS6X
2024-2025,4,7.0,MAT,Rocky Elementary School,71.3,Y,N,N,N,RO1R3H6Q9
2023-2024,4,9.0,SOC,Grand River Elementary School,96.7,Y,N,Y,Y,FQ576Y1UD
2021-2022,7,1.0,ENG,South Junior High,91.8,N,N,Y,N,4G6WK4Y0T
2024-2025,8,8.0,ELE,West Junior High,99.0,Y,N,N,N,2V28L2IGN
2021-2022,7,2.0,PE,South Junior High,81.3,N,N,Y,N,JF3DY06G1
2023-2024,3,2.0,ENG,Seaside Elementary School,19.2,N,Y,N,N,2KD6LZ94I
2024-2025,3,2.0,ART,Leafy Elementary School,96.3,N,Y,N,N,9L4FQT50I
2024-2025,0,8.0,SCI,Tulip Beach Elementary School,72.5,N,N,N,N,E5SSUX293
2024-2025,7,3.0,PE,South Junior High,68.9,N,N,N,N,HS1A8S4F6
2024-2025,4,3.0,MUS,Leafy Elementary School,98.9,N,N,N,N,KS192M3JI
2024-2025,0,3.0,MUS,Grand River Elementary School,100.0,Y,N,N,N,74HKL0DE5
2024-2025,2,4.0,PE,Rocky Elementary School,100.0,N,N,N,N,C63TW3XY8
2023-2024,6,8.0,ENG,North Junior High,85.0,Y,N,N,N,8U1PQWY74
2024-2025,1,2.0,ART,Gale Elementary School,100.0,Y,N,N,N,R2C0E2S4F
2023-2024,7,4.0,SOC,South Junior High,80.0,N,N,Y,Y,V9JJJ52I9
2024-2025,1,7.0,MAT,Grand River Elementary School,96.2,N,N,N,N,FX9L3L29E
2018-2019,6,2.0,SOC,North Junior High,85.7,N,N,N,N,7P493JUXX
2024-2025,5,9.0,SOC,Elk Meadow Elementary School,100.0,N,Y,N,N,Q34RC5K4X
2020-2021,6,4.0,MAT,Allfeather Middle School,94.2,N,N,N,N,6OQU30NX3
2021-2022,7,2.0,ENG,Allfeather Middle School,67.3,N,N,N,N,4CB0MDL17
2023-2024,4,5.0,ENG,Sunny Hillside Elementary School,51.6,N,Y,N,N,HW2D5A0L5
2024-2025,2,8.0,SCI,Sunny Hillside Elementary School,96.7,Y,N,N,N,5YQK4Q65J
2023-2024,4,2.0,ART,Grand River Elementary School,100.0,Y,N,Y,Y,LC23X83BD
2024-2025,7,4.0,ENG,North Junior High,72.8,N,Y,N,N,4OJ14O1JQ
2022-2023,8,7.0,ENG,Allfeather Middle School,42.0,N,N,N,N,T3A3RDR04
2018-2019,6,5.0,ELE,South Junior High,90.0,Y,N,N,N,RR5N3SP94
2023-2024,1,6.0,ENG,Tulip Beach Elementary School,86.7,N,Y,N,N,02H6D3OFY
2024-2025,1,4.0,PE,Rocky Elementary School,97.1,N,N,N,N,1I2HFTL14
2023-2024,4,6.0,ENG,Grand River Elementary School,92.0,Y,N,N,N,9KOD92H3X
2020-2021,6,3.0,ELE,South Junior High,59.0,N,N,Y,N,MXK4644QK
2024-2025,1,2.0,ART,Gale Elementary School,100.0,Y,N,N,N,E79J7YXC2
2022-2023,2,5.0,ENG,Hall Elementary School,74.7,Y,N,Y,Y,MU934MXK2
2023-2024,0,4.0,PE,Elk Meadow Elementary School,100.0,Y,N,N,Y,7OT6E3J5Q
2024-2025,2,5.0,ENG,Grand River Elementary School,98.8,Y,N,N,N,138W6QNBM
2023-2024,5,2.0,ART,Sunny Hillside Elementary School,95.0,Y,N,N,N,GELW7118F
2018-2019,6,1.0,ELE,West Junior High,94.5,Y,N,N,N,209Q0TRGO
2018-2019,6,4.0,MAT,Allfeather Middle School,48.3,N,N,N,N,IXJQ34E34
2023-2024,8,1.0,ENG,South Junior High,68.2,N,N,N,Y,DV1S0YM47
2023-2024,6,5.0,ELE,North Junior High,83.3,Y,N,N,N,R4JR13DW4
2024-2025,4,6.0,ENG,Cloudy Elementary School,94.3,Y,N,N,N,I1Z8G05MJ
2024-2025,3,8.0,SCI,Tulip Beach Elementary School,100.0,N,N,N,Y,3X3RU5IS8
2023-2024,0,5.0,ENG,Circle Elementary School,70.0,N,N,N,N,6AV7KU51E
2023-2024,7,1.0,ELE,West Junior High,89.2,N,N,N,N,5T0WX70GB
2023-2024,2,2.0,ART,Rocky Elementary School,100.0,Y,N,N,N,B73C2CVI5
2023-2024,8,2.0,ELE,North Junior High,84.3,N,N,N,N,X485VF3RS
2021-2022,7,6.0,ELE,East Junior High,72.2,N,N,N,N,HIX405JB7
2024-2025,5,7.0,MAT,Washington Stone Elementary School,59.5,Y,N,N,N,6GBUN01F1
2024-2025,2,7.0,MAT,Maria Flowers Elementary School,42.9,Y,N,N,N,V9PJ13TI5
2018-2019,8,3.0,MAT,East Junior High,68.1,N,N,N,N,4GG9GKA94
2022-2023,1,4.0,PE,Leafy Elementary School,95.0,Y,Y,N,N,9L4FQT50I
2018-2019,6,6.0,PE,West Junior High,90.7,N,N,N,N,S9F4U8UZ9
2023-2024,8,5.0,MUS,South Junior High,86.5,N,Y,N,N,88WM3WHL0
2024-2025,4,8.0,SCI,Cloudy Elementary School,80.3,Y,N,Y,N,K9I57AT4W
2020-2021,8,1.0,ENG,Allfeather Middle School,96.9,N,N,N,N,RL58L2IM7
2023-2024,7,5.0,MAT,Allfeather Middle School,29.0,N,N,N,N,4GP7G0QL3
2023-2024,5,4.0,PE,Maria Flowers Elementary School,100.0,Y,N,Y,N,VJ178X1UM
2023-2024,8,4.0,SOC,South Junior High,82.1,N,Y,N,N,682C6OTDV
2020-2021,7,2.0,MAT,East Junior High,37.0,N,N,N,N,K94LX67YJ
2024-2025,6,2.0,MAT,East Junior High,91.6,N,N,N,N,KFZ9D20R9
2024-2025,6,2.0,SCI,West Junior High,97.8,N,N,N,N,L3FZ49H5W
2022-2023,6,2.0,MAT,East Junior High,86.5,Y,N,N,N,I3648MCBW
2021-2022,6,6.0,ENG,Allfeather Middle School,73.3,N,Y,Y,Y,77V6YBN1V
2023-2024,2,8.0,SCI,Grand River Elementary School,100.0,Y,N,N,N,T8JODJ359
2022-2023,7,3.0,SCI,East Junior High,5.7,N,N,Y,N,K2U7E8I0L
2018-2019,7,3.0,ENG,Allfeather Middle School,77.2,N,Y,Y,N,43GBTM0H3
2022-2023,5,4.0,PE,Gale Elementary School,100.0,Y,N,N,N,U4A3N2KQ7
2024-2025,6,2.0,SCI,East Junior High,79.1,N,N,N,N,Y36HP18VI
2018-2019,7,1.0,SCI,Allfeather Middle School,97.3,Y,N,N,N,J84XVM83G
2024-2025,3,3.0,MUS,Tulip Beach Elementary School,100.0,N,Y,N,N,N2X8E64BV
2022-2023,4,3.0,MUS,Gale Elementary School,100.0,Y,N,N,N,50EOM3C6G
2018-2019,8,1.0,ART,West Junior High,86.3,Y,N,N,N,1YX20MU2I
2024-2025,6,2.0,ENG,South Junior High,78.5,N,N,N,N,XC4M6H4R2
2022-2023,4,8.0,SCI,Washington Stone Elementary School,64.3,Y,N,N,N,QG1A2T7E3
2022-2023,6,1.0,MS,East Junior High,70.8,N,N,N,N,8RJ3T1JY6
2024-2025,7,4.0,ENG,North Junior High,44.4,Y,N,N,N,G5I11F5HX
2023-2024,1,6.0,ENG,Sunny Hillside Elementary School,94.7,Y,N,N,N,U0C7R5OH2
2022-2023,3,7.0,ENG,Hall Elementary School,61.7,Y,N,N,Y,9CX3TU17G
2020-2021,8,3.0,PE,East Junior High,94.9,N,N,N,N,N5Q4Z69AW
2020-2021,8,2.0,MUS,Allfeather Middle School,18.1,N,N,Y,N,0LHQ874RN
2023-2024,4,4.0,PE,Grand River Elementary School,97.0,Y,N,N,N,6NCLU45D3
2022-2023,7,5.0,ELE,Allfeather Middle School,87.1,N,N,N,N,0JM4VGN88
2024-2025,8,5.0,ELE,Allfeather Middle School,98.0,N,N,N,N,U3ZY307PY
2022-2023,7,5.0,PE,South Junior High,98.1,Y,N,N,N,CSE64O9P3
2022-2023,8,7.0,ELE,East Junior High,80.4,N,Y,N,N,097A9HQPN
2024-2025,2,2.0,ART,Maria Flowers Elementary School,100.0,Y,N,N,N,1XVA62OE4
2024-2025,6,4.0,MAT,South Junior High,70.5,N,N,N,N,4XD0M2M5C
2024-2025,6,2.0,SOC,East Junior High,80.2,N,N,N,N,1A9WDEX93
2023-2024,6,5.0,PE,East Junior High,79.5,N,Y,N,N,COT251F8C
2022-2023,0,6.0,ENG,Gale Elementary School,89.3,Y,N,N,N,28U2X4VOF
2023-2024,5,7.0,MAT,Gale Elementary School,97.3,Y,N,N,N,3NB5HUA08
2024-2025,5,2.0,ART,Rocky Elementary School,97.5,Y,N,N,N,ZID562F7Q
2023-2024,0,6.0,ENG,Rocky Elementary School,94.3,Y,N,N,N,23K2VN7VD
2023-2024,6,1.0,ELE,Allfeather Middle School,100.0,N,Y,N,N,UNA36N11P
2024-2025,1,4.0,PE,Rocky Elementary School,100.0,N,N,N,N,69JA1X7BU
2023-2024,7,6.0,ELE,West Junior High,88.9,N,N,N,N,X0CH457FT
2020-2021,7,3.0,ENG,East Junior High,100.0,N,N,Y,N,FXWR153L2
2023-2024,8,6.0,ELE,West Junior High,87.6,Y,N,N,N,5UCG915YX
2024-2025,7,1.0,ENG,Allfeather Middle School,82.2,N,N,N,N,42Y3IU2WE
2021-2022,7,1.0,SOC,East Junior High,96.7,N,N,Y,N,54V6T7WBG
2018-2019,7,4.0,SOC,North Junior High,82.1,Y,N,N,N,M150BK3VT
2024-2025,5,7.0,MAT,Gale Elementary School,81.6,Y,N,N,Y,QKJ9B68I9
2023-2024,4,6.0,ENG,Sunny Hillside Elementary School,85.1,Y,N,N,N,4EYH0FN06
2024-2025,4,2.0,ART,Cloudy Elementary School,100.0,Y,N,N,N,881EQ8XWN
2021-2022,7,4.0,ENG,South Junior High,76.8,N,N,N,N,573NUH5UM
2024-2025,3,7.0,MAT,Grand River Elementary School,77.3,Y,N,N,N,D5B7XZ19L
2023-2024,0,5.0,ENG,Rocky Elementary School,100.0,Y,N,N,N,CX63JJS25
2023-2024,5,7.0,MAT,Rocky Elementary School,43.0,Y,N,N,N,J1Z37RKZ2
2024-2025,7,7.0,SOC,North Junior High,62.1,Y,N,N,N,KM0G2MC97
2020-2021,6,4.0,MAT,Allfeather Middle School,71.7,Y,N,N,N,W4F70ZYO6
2022-2023,8,4.0,MAT,Allfeather Middle School,86.7,N,N,N,N,2SYES685W
2023-2024,0,7.0,MAT,Hall Elementary School,100.0,N,N,N,Y,B9LX85A3C
2023-2024,4,2.0,ART,Leafy Elementary School,100.0,Y,N,N,N,R06NDR6K9
2023-2024,0,9.0,SOC,Rocky Elementary School,100.0,Y,N,N,N,WD931GQ9G
2024-2025,7,7.0,ELE,East Junior High,71.0,N,Y,N,N,3JFU2P10K
2022-2023,2,2.0,ART,Leafy Elementary School,100.0,Y,N,Y,Y,SE7U97NQ2
2023-2024,7,5.0,ELE,Allfeather Middle School,88.6,Y,N,N,N,U5939ZUFP
2023-2024,3,8.0,ENG,Hall Elementary School,98.6,Y,N,N,N,69EAQ98DW
2024-2025,8,5.0,MUS,North Junior High,122.6,Y,N,N,N,F841IER4X
2024-2025,3,6.0,ENG,Gale Elementary School,101.5,N,N,N,N,8IVU12G6J
2020-2021,8,5.0,ART,North Junior High,63.6,N,N,N,N,GDW6ZK772
2023-2024,8,3.0,ENG,East Junior High,72.0,Y,N,N,N,ZF8X5S9P4
2020-2021,7,5.0,ENG,Allfeather Middle School,99.6,N,Y,N,N,N7I6R23WY
2024-2025,0,7.0,MAT,Seaside Elementary School,97.0,N,N,N,N,6D54QYA2T
2024-2025,6,2.0,SCI,Allfeather Middle School,90.9,Y,N,N,N,A3MI0JH67
2023-2024,8,2.0,SOC,Allfeather Middle School,85.3,N,N,Y,N,3MH2J6K0Q
2023-2024,7,1.0,SOC,North Junior High,79.6,N,N,N,N,3YSYQ902E
2024-2025,4,5.0,ENG,Grand River Elementary School,100.0,Y,N,N,N,O0NX553NG
2024-2025,3,5.0,ENG,Rocky Elementary School,85.0,N,N,Y,N,CQDKX4153
2021-2022,8,2.0,MAT,East Junior High,27.4,Y,N,N,N,GC01LK74G
2022-2023,8,1.0,ENG,South Junior High,89.5,N,N,Y,N,AC0RAH059
2023-2024,3,9.0,SOC,Gale Elementary School,100.0,Y,N,N,N,749VF3TSB
2022-2023,6,1.0,ENG,South Junior High,92.9,N,N,N,N,52YJRWX63
2022-2023,1,2.0,ART,Leafy Elementary School,100.0,N,N,N,N,8E6SND1F6
2023-2024,1,6.0,SOC,Seaside Elementary School,80.0,Y,N,N,N,T9GYRP354
2023-2024,4,9.0,SOC,Leafy Elementary School,75.0,Y,N,N,N,WY8X43G1C
2024-2025,6,4.0,ENG,West Junior High,56.3,Y,N,N,N,73FEZJT66
2023-2024,6,2.0,MUS,West Junior High,100.0,Y,N,N,N,4D9SVK07U
2024-2025,7,5.0,ELE,Allfeather Middle School,90.0,N,N,N,N,0MM9CB70V
2022-2023,3,6.0,SOC,Hall Elementary School,90.0,Y,N,N,N,09X2HEDL6
2023-2024,0,2.0,ART,Sunny Hillside Elementary School,95.0,Y,Y,N,N,MG1B1B3Z9
2023-2024,3,5.0,ENG,Rocky Elementary School,91.5,N,N,N,N,R13IO71AA
2021-2022,6,3.0,ENG,Allfeather Middle School,60.9,N,N,N,N,DPW725YQ9
2022-2023,6,5.0,ENG,South Junior High,91.0,N,N,Y,N,A7IN7G7F0
2021-2022,6,4.0,ENG,West Junior High,90.7,N,N,N,N,7V8PHT04U
2018-2019,8,7.0,SCI,North Junior High,36.6,N,N,N,N,6HNO2KS68
2024-2025,6,3.0,MAT,South Junior High,51.1,N,N,N,N,8W6HRZX55
2023-2024,1,7.0,MAT,Elk Meadow Elementary School,58.1,Y,N,Y,Y,VD159U9IL
2022-2023,8,1.0,ENG,West Junior High,32.3,Y,N,N,N,JO69HBS71
2023-2024,7,2.0,ELE,Allfeather Middle School,94.0,N,N,N,N,QS32XZN18
2020-2021,6,3.0,MAT,North Junior High,75.0,N,N,N,N,2LGHG89M1
2018-2019,7,2.0,ELE,Allfeather Middle School,82.0,N,N,N,N,YN6729MST
2018-2019,7,2.0,MAT,East Junior High,78.6,N,N,N,N,9K3E30ZLG
2022-2023,3,9.0,SOC,Gale Elementary School,90.4,Y,N,N,N,PW256QYC4
2024-2025,1,8.0,SCI,Cloudy Elementary School,100.0,Y,N,N,N,PIC47E7C9
2018-2019,8,8.0,ENG,South Junior High,95.2,N,N,N,N,ZTL2JT909
2024-2025,3,6.0,ENG,Washington Stone Elementary School,40.0,Y,N,N,Y,U8344DZTS
2022-2023,4,4.0,PE,Leafy Elementary School,90.0,Y,Y,N,N,1EUBNQ963
2022-2023,7,5.0,ENG,East Junior High,96.2,N,N,N,N,VQV0155QQ
2024-2025,1,9.0,SOC,Tulip Beach Elementary School,100.0,N,N,N,N,423UPNA7J
2018-2019,8,6.0,PE,Allfeather Middle School,98.3,N,N,N,N,XF61L31AR
2023-2024,1,9.0,SOC,Tulip Beach Elementary School,100.0,N,N,N,N,DHMQ04A21
2024-2025,6,8.0,ELE,West Junior High,98.2,N,N,N,N,Q917ACP8F
2021-2022,7,3.0,MAT,West Junior High,92.3,Y,N,N,N,N3IW07LR8
2024-2025,2,9.0,SOC,Leafy Elementary School,90.0,Y,N,N,N,VNW501I0V
2023-2024,2,6.0,ENG,Tulip Beach Elementary School,97.3,N,N,N,N,4KLLJP133
2023-2024,7,1.0,MAT,West Junior High,78.6,Y,N,N,N,W2OXVP408
2024-2025,7,6.0,PE,West Junior High,96.0,N,N,N,Y,2NX8R70CX
2020-2021,8,4.0,SCI,East Junior High,19.4,N,N,N,N,U6R77OM8S
2024-2025,7,5.0,SCI,West Junior High,95.8,Y,N,N,N,Z5KLEO927
2018-2019,8,6.0,PE,Allfeather Middle School,66.7,N,N,N,N,YQSG0X428
2021-2022,8,4.0,SOC,West Junior High,78.1,N,N,N,N,TPL34TY02
2023-2024,5,7.0,MAT,Elk Meadow Elementary School,91.7,Y,N,N,N,K720Q1BMT
2024-2025,0,4.0,PE,Gale Elementary School,100.0,Y,N,N,N,PR1T251QH
2024-2025,1,7.0,MAT,Grand River Elementary School,91.3,Y,N,N,N,388OVPEP7
2018-2019,8,1.0,SOC,South Junior High,91.4,Y,N,Y,N,ZVK73YU30
2023-2024,5,6.0,ENG,Cloudy Elementary School,25.0,Y,Y,N,N,Q7M7RK0H8
2018-2019,8,1.0,ELE,West Junior High,63.6,Y,N,N,N,30SJQ1M5P
2018-2019,8,0.0,MS,North Junior High,100.0,Y,N,Y,N,U0UC07B9Q
2024-2025,8,2.0,SOC,Allfeather Middle School,44.8,N,N,N,N,60UA0F4SZ
2023-2024,8,5.0,ELE,West Junior High,83.1,Y,Y,N,N,6OCE69JJ6
2024-2025,8,2.0,ENG,East Junior High,76.0,N,N,N,Y,53BVHT23V
2018-2019,7,2.0,ENG,West Junior High,71.7,N,N,N,N,3ZZXGW280
2022-2023,7,1.0,ELE,West Junior High,98.0,N,N,N,Y,LG1HK7T92
2024-2025,4,5.0,ENG,Washington Stone Elementary School,87.5,Y,N,N,N,S30U3J6IO
2021-2022,7,4.0,SOC,South Junior High,63.3,N,N,N,N,N2D3SAJ08
2024-2025,0,8.0,SCI,Rocky Elementary School,100.0,Y,N,N,N,V54Y7HV0I
2024-2025,3,8.0,SCI,Tulip Beach Elementary School,100.0,N,N,N,N,5Q3PLEP74
2024-2025,1,4.0,PE,Leafy Elementary School,100.0,Y,N,N,N,636DTT3UV
2023-2024,5,4.0,PE,Leafy Elementary School,100.0,Y,N,Y,Y,15GK8R1GK
2023-2024,7,3.0,ELE,West Junior High,98.3,N,N,N,N,N433IGGL9
2021-2022,8,1.0,MAT,North Junior High,77.6,N,N,N,N,0S22ZEU6T
2018-2019,8,6.0,ART,West Junior High,92.9,Y,N,N,N,5NY750CUP
2023-2024,6,6.0,MAT,West Junior High,51.0,Y,N,N,N,7WWI1D8F7
2023-2024,5,8.0,SCI,Rocky Elementary School,93.6,Y,N,N,N,L0R0Z4Q5S
2023-2024,8,2.0,ELE,North Junior High,73.8,N,N,N,N,8MPJ24Y5R
2018-2019,8,1.0,ELE,East Junior High,93.8,N,Y,N,N,Z7B0YE99Z
2023-2024,1,7.0,MAT,Leafy Elementary School,40.6,Y,N,Y,Y,H559VBZZ8
2018-2019,6,0.0,MS,Allfeather Middle School,100.0,N,N,N,N,P152DOB8R
2023-2024,0,5.0,ENG,Circle Elementary School,90.0,N,N,N,N,G4N9M26IG
2024-2025,0,8.0,SCI,Sunny Hillside Elementary School,80.5,Y,N,N,N,3LGTF1K99
2023-2024,4,6.0,ENG,Sunny Hillside Elementary School,98.8,Y,N,N,N,58Z4U4RMS
2018-2019,8,5.0,ELE,South Junior High,84.8,Y,N,N,N,RZU8240LZ
2021-2022,7,4.0,ELE,South Junior High,100.0,N,N,N,N,ZR6NR16S8
2023-2024,6,4.0,ELE,West Junior High,103.1,Y,N,Y,N,G5OI995SZ
2018-2019,8,6.0,PE,East Junior High,95.4,N,N,N,N,9AZ42XSU1
